Configuration Type,Room Name,Min Value,Max Value,Summer Positive Slope,Summer Negative Slope,Fall Positive Slope,Fall Negative Slope,Winter Positive Slope,Winter Negative Slope
Temperature,LCC,-40.0,-30.0,0.0,0.0,0.0,0.03723,0.0,0.0
Temperature,LCC,-29.0,-20.0,0.0,0.0708,0.19167,0.12447,0.0,0.0
Temperature,LCC,-19.0,-10.0,1.31262,0.10386,0.91404,0.1605,0.51246,0.30354
Temperature,LCC,-9.0,0.0,1.06086,0.35622,0.94092,0.32622,0.2562,0.5328
Temperature,LCC,1.0,10.0,0.33288,0.38814,0.90414,0.80412,0.63621,0.94626
Temperature,LCC,11.0,15.0,0.84606,0.65376,0.61722,0.99606,0.52404,0.96642
Temperature,LCC,16.0,20.0,1.02999,1.14432,0.58188,0.84429,1.15014,0.86562
Temperature,LCC,21.0,25.0,0.50952,0.5931,0.44958,1.04169,0.55062,1.3464
Temperature,LCC,26.0,30.0,0.84204,2.4426,0.5889,1.01808,0.36261,0.95964
Temperature,LCC,31.0,40.0,0.52842,0.90102,0.5889,0.98136,0.17475,0.52959
Temperature,LCC,41.0,50.0,0.38958,0.52986,0.4098,1.01406,0.16866,0.54249
Temperature,LCC,51.0,60.0,0.0,0.0,0.22722,0.71268,0.14634,0.70458
Temperature,LCC,61.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
Temperature,SCC,-40.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0
Temperature,SCC,-29.0,-20.0,0.0,0.0,0.97728,0.12348,1.27608,0.06234
Temperature,SCC,-19.0,-10.0,0.0,0.0,0.759,0.50322,0.67872,0.20082
Temperature,SCC,-9.0,0.0,0.70824,0.76128,0.43374,0.0,0.47898,0.47022
Temperature,SCC,1.0,10.0,0.54198,0.0,0.0,0.97566,0.2967,0.70758
Temperature,SCC,11.0,15.0,0.4041,0.0,0.46776,0.98532,0.24384,0.85668
Temperature,SCC,16.0,20.0,0.3453,0.0,0.38196,1.209,0.11538,0.0
Temperature,SCC,21.0,25.0,0.27504,1.09836,0.05694,1.65066,0.0,0.0
Temperature,SCC,26.0,30.0,0.22596,1.29948,0.53796,1.42962,0.0,0.0
Temperature,SCC,31.0,40.0,0.20178,0.0,0.3573,0.0,0.0,0.0
Temperature,SCC,41.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
Temperature,SCC,51.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
Temperature,SCC,61.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
